,Warehouse id,Region,SKU id,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00
10,1,NORTH,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,55,143,37,97,65,31,105,173,45,67
14,1,NORTH,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,216,180,64,288,135,51,100,19,172
18,1,NORTH,19,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,52,106,22,16,22,16,40,22,16,24,16,28
19,1,NORTH,20,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,46,46,52,70,49,70,163,22,24,10,4
20,1,NORTH,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,36,108,112,60,76,84,57,164,232,136,164,124
21,1,NORTH,22,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,40,10,54,2,54,11,22,38,14,38,2
22,1,NORTH,23,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,131,27,35,51,75,27,51,87,123,3,19
23,1,NORTH,24,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,64,124,36,56,112,144,31,64,32,136,24,24
25,1,NORTH,26,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,30,147,132,60,144,186,162,186,141,53,18,48
26,1,NORTH,27,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,25,115,49,25,64,103,244,205,232,52,139,43
27,1,NORTH,28,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,57,19,43,33,23,47,18,48,49,29,11
28,1,NORTH,29,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,56,96,50,36,60,36,35,64,78,112,72,36
32,1,NORTH,33,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,18,72,40,42,41,154,194,86,77,160,108,30
34,1,NORTH,35,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14,52,28,4
35,1,NORTH,36,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,144,2,6,154,292,330,314,750,538,153,790,478,568,282,306
40,1,NORTH,41,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,191,8,8,152,11,89,92,32,110,140,110,39,98,38,20
41,1,NORTH,42,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,42,6,6,90,116,158,30,106,84,6,54,142,34,6,126
42,1,NORTH,43,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,28,408,4,12,164,32,184,156,132,324,65,52,112,84,52,28
43,1,NORTH,44,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,34,14,22,174,46,58,198,198,198,82,14,222,238,46,142
53,1,NORTH,54,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,62,18,26,210,70,54,58,82,90,52,178,138,202,58,18
54,1,NORTH,55,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,227,15,23,55,69,117,83,283,113,75,189,97,359,251,95
55,1,NORTH,56,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,139,115,175,463,259,627,635,178,475,989,763,531,139
56,1,NORTH,57,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,25,293,17,17,49,17,49,77,241,41,229,145,55,89,33,25
57,1,NORTH,58,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,200,17,41,95,164,161,29,455,194,308,155,83,413,17,47
58,1,NORTH,59,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,133,13,29,133,221,401,213,609,93,541,277,441,689,133,109
61,1,NORTH,62,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,46,124,14,94,294,258,258,166,318,562,622,62,250,458,114,62
62,1,NORTH,63,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,22,30,16,18,36,30,73,16,46,30,66,47,28,99,42,32
65,1,NORTH,66,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,259,7,55,87,29,149,115,227,299,395,429,283,86,155,47
66,1,NORTH,67,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,20,37,7,35,7,17,7,56,22,49,83,64,174,161,52,33,57,27
67,1,NORTH,68,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,54,200,86,116,6,6,6,44,20,66,140,58,67,312,378,310,162,82
72,1,NORTH,73,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,585,111,513,177,321,17,17,17,45,101,17,93,73,337,145,345,185,41,41
73,1,NORTH,74,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,162,2,2,122,210,210,210,34,2,2,2
74,1,NORTH,75,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,352,70,160,224,152,16,24,16,20,34,28,44,56,160,72,214,72,52,32
75,1,NORTH,76,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,58,20,22
82,1,NORTH,83,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,25,5,5,5,5,13,105,5,5,5,105,45,21,5,5
83,1,NORTH,84,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,60,16,40,16,56,24,16,16,32,896,4632,1068,76,136,6320,1072,5396,4956,280,32
84,1,NORTH,85,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,491,3,3,867,3831,298,3,3
86,1,NORTH,87,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
100,1,NORTH,101,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,14,14,130,76,152,58,14,34,120,14
101,1,NORTH,102,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,121,23,16,125,28,127,96,25
117,1,NORTH,118,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,2,2,2,2,2,2,2,2,2,2
155,1,NORTH,156,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,44,21,20,20
161,1,NORTH,162,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,85,40
162,1,NORTH,163,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,32,20,16
163,1,NORTH,164,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,68,41
168,1,NORTH,169,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,67,54,104,14,20,4
169,1,NORTH,170,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,23,63,99,263,26,27,15
170,1,NORTH,171,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,264,108,270,45,66,81
171,1,NORTH,172,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
173,1,NORTH,174,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,33,13,29,9,9,25
174,1,NORTH,175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,9,33,1,1,1
175,1,NORTH,176,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
176,1,NORTH,177,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,60,12,12,56,92,20,92,12,12
177,1,NORTH,178,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,182,30,29,101
178,1,NORTH,179,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,25,15,23,151,31,19
179,1,NORTH,180,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26,2,2,2,2,2,2,26,14,2,2,2,14,2,2,2,2
180,1,NORTH,181,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,24,8,8,8,8,8,8,9,8,8
182,1,NORTH,183,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,40,8,12,8,8,12,8,40,8,8,8,8,24,40,8,8,8
183,1,NORTH,184,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,21,17,31,17,17,17,17,17,17,17,17,17
186,1,NORTH,187,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
187,1,NORTH,188,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,21,47,16,5,5,5,5,45,5,5,31,53,37,33,29,37,58,37,9
188,1,NORTH,189,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,44,110,164,11,17,8,8,32,86,44,40,62,104,131,56,98,140,26,32
190,1,NORTH,191,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,48,12,30,12,48,12,12,12,21,21,21,30,30,30,12,30,57,12,19
191,1,NORTH,192,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,47,21,39,21,49,15,15,25,39,15,31,15,15,43,15,15,15,31,31
192,1,NORTH,193,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,15,17,31,3,13,3,3,7,3,5,27,3,23,31,15,9,9,17,19
194,1,NORTH,195,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,18,30,14,14,44,22,32,22,14,18,22,30,26,34,14,14
196,1,NORTH,197,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,154,138,50,42,18,42,114,70,18,74,146,18,130,170,66,51,66,82
197,1,NORTH,198,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,68,176,134,44,104,14,38,131,74,74,134,50,128,194,14,65,308,44,62
199,1,NORTH,200,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,126,54,200,35,92,18
200,1,NORTH,201,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,34,93,22,40,16
201,1,NORTH,202,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,105,30,216,36,90,45
203,1,NORTH,204,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,22,46,74,31,70,26,27,22
204,1,NORTH,205,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,234,438,90,81,228,6,105,174,330,150,168,126,114,98,102,282,228,60,234
206,1,NORTH,207,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,93,3,183,93,64,3,3,153,237,93,159,79,45,219,9,153,297,21,69
207,1,NORTH,208,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,17,36,12
208,1,NORTH,209,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,138,360,486,135,372,318,537,186,552,702,18,240
209,1,NORTH,210,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,293,347,113,17,167,17,95,167,143,221,341,251,83,108,107,359,251,227,125
212,1,NORTH,213,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,48,16,35,16,16,16,16,16,16,16,16,16,16
226,1,NORTH,227,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,49,21,49,49,17,17,22,17,49,17,17,17
227,1,NORTH,228,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,53,17,53,161,17,89,35,89,17,17,17,17
228,1,NORTH,229,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,20,4,4,84,52,116,190,102,276,49,316,4,96,132,4
240,2,EAST,403,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,66,30,42,6,6,6,6,72,6,6,6,22,42,36,78,126,6
247,2,EAST,20,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,92,84,12,28,4,20,4,60,17,8,4
248,2,EAST,352,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,64,22,21,10,28,10,46,10,70,88,82,10
249,2,EAST,21,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,23,87,87,7,31,15,143,63,119,31,103,127
250,2,EAST,22,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,39,63,47,23,23,71,23,31,27,59,27
251,2,EAST,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,7,1,7,43,31,9,37,31,13
252,2,EAST,24,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,134,126,94,74,14,46,142,30,150,35,190,6
254,2,EAST,26,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,60,60,102,6,18,66,6,18,36,24
255,2,EAST,27,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,43,31,3,31,7,43,7,71,12,43,35
256,2,EAST,28,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,41,59,35,11,11,47,41,77,16,77,5
257,2,EAST,29,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,47,21,29,19,23,7,27,25,29,13,33,17
261,2,EAST,33,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,21,61,55,29,17,61,53,26,105,93,37
266,2,EAST,36,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,125,42,5,133,61,85,37,13,125,141,117,125,205
270,2,EAST,41,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,166,208,130,10,10,142,40,70,112,166,55,112,310
271,2,EAST,44,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,45,99,21,27,15,15,33,33,15,81,26,75,33
277,2,EAST,56,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,104,272,216,144,108,224,120,256,80,352,304,352,176
278,2,EAST,57,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,39,15,123,153,87,51,75,15,45,38,39,51,99,87,15
279,2,EAST,59,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13,5,5,5,5,5,5,17,11,6,5,5
280,2,EAST,62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,30,42,24,12,102,168,66,42,30,30,24,24,36,54,32,108,12
281,2,EAST,66,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,27,179,3,35,115,371,99,363,467,923,102
282,2,EAST,67,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,42,12,6,6,6,6,6,6,6,6,24,78,102,45,420,156,432
283,2,EAST,244,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,142,16,46,16,43,16,94,106,154,58,40,118,88,88,76,16,16
288,2,EAST,73,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,43,77,39,47,63,19,147,41,35,87,75,61,29,119,27,85,21,31,45
290,2,EAST,76,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,72,549,276
299,2,EAST,84,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,32,4,28,4,4,24,24,27,228,132
302,2,EAST,87,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,73,30,13
314,2,EAST,259,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,139,475,235,151,119,79,39,95,95,251,435,19,535
315,2,EAST,260,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,90,154,122,90,98,30,34,43,42,122,210,102,22
316,2,EAST,261,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28,216,336,145,628,1020,420,788,388
317,2,EAST,262,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,42,50,30,6,22,78,34,60,17,6,14
335,2,EAST,110,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
342,2,EAST,117,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,16,16,16,16,22,16,16,16,16,16,22,19,16,16
355,2,EAST,338,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,153,31,149,97,65
