,Warehouse id,Region,SKU id,01-04-2018 00:00,01-05-2018 00:00,01-06-2018 00:00,01-07-2018 00:00,01-08-2018 00:00,01-09-2018 00:00,01-10-2018 00:00,01-11-2018 00:00,01-12-2018 00:00,01-01-2019 00:00,01-02-2019 00:00,01-03-2019 00:00,01-04-2019 00:00,01-05-2019 00:00,01-06-2019 00:00,01-07-2019 00:00,01-08-2019 00:00,01-09-2019 00:00,01-10-2019 00:00,01-11-2019 00:00,01-12-2019 00:00,01-01-2020 00:00,01-02-2020 00:00,01-03-2020 00:00,01-04-2020 00:00,01-05-2020 00:00,01-06-2020 00:00,01-07-2020 00:00,01-08-2020 00:00,01-09-2020 00:00,01-10-2020 00:00,01-11-2020 00:00,01-12-2020 00:00,01-01-2021 00:00,01-02-2021 00:00,01-03-2021 00:00,01-04-2021 00:00,01-05-2021 00:00
10,1,NORTH,11,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,55.0,143.0,37.0,97.0,65.0,141.6666667,105.0,107.6666667,45.0,67.0
14,1,NORTH,15,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,216.0,180.0,64.0,162.3333333,135.0,182.3333333,100.0,19.0,172.0
18,1,NORTH,19,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,52.0,60.0,22.0,16.0,22.0,16.0,40.0,22.0,16.0,60.0,16.0,28.0
19,1,NORTH,20,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,46.0,46.0,52.0,70.0,49.0,70.0,85.0,22.0,102.0,10.0,4.0
20,1,NORTH,21,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,36.0,108.0,112.0,60.0,76.0,84.0,206.6666667,164.0,177.3333333,136.0,164.0,124.0
21,1,NORTH,22,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,40.0,34.66666667,54.0,2.0,54.0,60.0,22.0,38.0,14.0,38.0,2.0
22,1,NORTH,23,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,53.66666667,27.0,35.0,51.0,75.0,160.3333333,51.0,87.0,123.0,3.0,19.0
23,1,NORTH,24,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,64.0,124.0,36.0,56.0,112.0,144.0,128.0,64.0,32.0,136.0,24.0,24.0
25,1,NORTH,26,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,30.0,147.0,132.0,60.0,144.0,186.0,162.0,186.0,141.0,151.0,18.0,48.0
26,1,NORTH,27,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,25.0,115.0,49.0,25.0,64.0,103.0,244.0,205.0,232.0,262.0,139.0,43.0
27,1,NORTH,28,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,29.0,19.0,43.0,33.0,23.0,47.0,53.33333333,48.0,49.0,29.0,11.0
28,1,NORTH,29,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,56.0,96.0,50.0,36.0,60.0,36.0,109.3333333,64.0,78.0,87.33333333,72.0,36.0
32,1,NORTH,33,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,18.0,72.0,40.0,42.0,140.6666667,154.0,144.6666667,86.0,77.0,160.0,108.0,30.0
34,1,NORTH,35,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,126.6666667,134.6666667,28.0,4.0
35,1,NORTH,36,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,144.0,2.0,54.0,154.0,292.0,330.0,314.0,750.0,538.0,722.6666667,790.0,478.0,568.0,282.0,306.0
40,1,NORTH,41,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,69.0,8.0,8.0,152.0,11.0,89.0,92.0,32.0,110.0,140.0,110.0,137.0,98.0,38.0,20.0
41,1,NORTH,42,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,42.0,6.0,6.0,90.0,116.0,101.3333333,30.0,106.0,84.0,6.0,54.0,142.0,116.6666667,6.0,126.0
42,1,NORTH,43,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,28.0,146.6666667,4.0,12.0,164.0,32.0,184.0,156.0,132.0,324.0,329.3333333,52.0,112.0,84.0,52.0,28.0
43,1,NORTH,44,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,34.0,14.0,22.0,174.0,46.0,168.6666667,198.0,198.0,198.0,98.0,14.0,222.0,238.0,46.0,142.0
53,1,NORTH,54,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,62.0,18.0,26.0,210.0,70.0,54.0,58.0,82.0,90.0,195.3333333,178.0,172.6666667,202.0,58.0,18.0
54,1,NORTH,55,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,227.0,15.0,23.0,55.0,69.0,117.0,83.0,283.0,113.0,279.6666667,189.0,97.0,235.6666667,251.0,95.0
55,1,NORTH,56,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,139.0,115.0,175.0,463.0,259.0,627.0,635.0,763.6666667,475.0,742.3333333,763.0,531.0,139.0
56,1,NORTH,57,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,25.0,111.6666667,17.0,17.0,49.0,17.0,49.0,77.0,241.0,41.0,229.0,145.0,205.6666667,89.0,33.0,25.0
57,1,NORTH,58,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,200.0,17.0,41.0,95.0,164.0,161.0,29.0,455.0,194.0,219.0,155.0,351.0,413.0,17.0,47.0
58,1,NORTH,59,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,294.3333333,13.0,29.0,133.0,221.0,401.0,213.0,609.0,93.0,541.0,277.0,441.0,421.0,133.0,109.0
61,1,NORTH,62,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,46.0,300.6666667,14.0,94.0,294.0,258.0,258.0,166.0,318.0,562.0,415.3333333,62.0,250.0,458.0,114.0,62.0
62,1,NORTH,63,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,22.0,76.33333333,16.0,18.0,36.0,30.0,73.0,16.0,46.0,30.0,66.0,47.0,28.0,56.33333333,42.0,32.0
65,1,NORTH,66,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,259.0,7.0,55.0,87.0,29.0,149.0,115.0,227.0,299.0,395.0,369.0,283.0,341.0,155.0,47.0
66,1,NORTH,67,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,20.0,37.0,7.0,35.0,7.0,17.0,7.0,56.0,22.0,49.0,83.0,64.0,133.0,161.0,52.0,118.0,57.0,27.0
67,1,NORTH,68,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,54.0,200.0,86.0,116.0,6.0,6.0,6.0,44.0,20.0,66.0,140.0,58.0,252.0,312.0,333.3333333,310.0,162.0,82.0
72,1,NORTH,73,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,483.6666667,649.0,513.0,177.0,321.0,17.0,17.0,17.0,45.0,101.0,17.0,93.0,73.0,337.0,145.0,345.0,185.0,41.0,41.0
73,1,NORTH,74,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,162.0,2.0,2.0,111.3333333,210.0,210.0,210.0,179.3333333,2.0,2.0,2.0
74,1,NORTH,75,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,338.0,386.0,160.0,224.0,152.0,16.0,24.0,16.0,20.0,34.0,28.0,44.0,56.0,160.0,72.0,214.0,72.0,52.0,32.0
75,1,NORTH,76,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,32.66666667,20.0,46.0
82,1,NORTH,83,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,25.0,5.0,5.0,5.0,5.0,13.0,105.0,5.0,5.0,5.0,105.0,177.0,143.6666667,5.0,5.0
83,1,NORTH,84,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,60.0,16.0,40.0,16.0,56.0,24.0,16.0,16.0,32.0,4734.666667,4632.0,1068.0,76.0,136.0,2509.333333,1072.0,5396.0,4956.0,280.0,32.0
84,1,NORTH,85,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,491.0,3.0,3.0,867.0,3579.0,3291.0,3.0,3.0
86,1,NORTH,87,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,11.0,7.0,7.0
100,1,NORTH,101,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.66666667,14.0,14.0,130.0,76.0,152.0,58.0,14.0,154.6666667,120.0,14.0
101,1,NORTH,102,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,121.0,23.0,16.0,125.0,104.3333333,127.0,82.66666667,25.0
117,1,NORTH,118,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.666666667,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.333333333,2.0
155,1,NORTH,156,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,40.0,40.0,20.0,20.0
161,1,NORTH,162,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,63.0,85.0,75.0
162,1,NORTH,163,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,76.0,76.0,16.0
163,1,NORTH,164,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,52.0,68.0,64.0
168,1,NORTH,169,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,12.0,67.0,54.0,114.0,102.6666667,20.0,4.0
169,1,NORTH,170,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,23.0,63.0,99.0,217.0,193.0,27.0,15.0
170,1,NORTH,171,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,264.0,214.0,270.0,264.0,66.0,81.0
171,1,NORTH,172,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
173,1,NORTH,174,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,39.66666667,33.0,25.0,29.0,9.0,9.0,25.0
174,1,NORTH,175,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,9.0,14.33333333,1.0,1.0,1.0
175,1,NORTH,176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
176,1,NORTH,177,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,60.0,12.0,12.0,56.0,92.0,88.0,92.0,12.0,12.0
177,1,NORTH,178,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,228.0,234.0,29.0,101.0
178,1,NORTH,179,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,25.0,15.0,115.0,120.3333333,31.0,19.0
179,1,NORTH,180,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,14.0,14.0,2.0,2.0,2.0,14.0,2.0,2.0,2.0,2.0
180,1,NORTH,181,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,13.33333333,8.0,8.0,8.0,8.0,8.0,8.0,18.66666667,8.0,8.0
182,1,NORTH,183,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,40.0,8.0,12.0,8.0,8.0,20.0,8.0,40.0,8.0,8.0,8.0,8.0,24.0,40.0,8.0,8.0,8.0
183,1,NORTH,184,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,21.0,17.0,31.0,17.0,17.0,17.0,17.0,17.0,17.0,23.0,17.0,17.0
186,1,NORTH,187,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
187,1,NORTH,188,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,21.0,47.0,39.66666667,5.0,5.0,5.0,5.0,45.0,5.0,5.0,31.0,53.0,37.0,33.0,29.0,37.0,58.0,37.0,34.66666667
188,1,NORTH,189,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,44.0,110.0,95.0,11.0,17.0,8.0,8.0,32.0,86.0,44.0,104.0,62.0,104.0,131.0,56.0,98.0,140.0,26.0,32.0
190,1,NORTH,191,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,48.0,12.0,30.0,12.0,48.0,12.0,12.0,12.0,21.0,21.0,21.0,30.0,30.0,30.0,12.0,30.0,33.0,12.0,45.0
191,1,NORTH,192,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,47.0,49.66666667,39.0,21.0,49.0,15.0,15.0,26.33333333,39.0,15.0,31.0,15.0,15.0,43.0,15.0,15.0,15.0,31.0,31.0
192,1,NORTH,193,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,15.0,17.0,31.0,3.0,13.0,3.0,3.0,7.0,3.0,5.0,27.0,3.0,23.0,31.0,15.0,23.66666667,24.33333333,17.0,19.0
194,1,NORTH,195,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,31.33333333,30.0,14.0,14.0,26.66666667,22.0,32.0,22.0,14.0,18.0,22.0,30.0,26.0,34.0,14.0,14.0
196,1,NORTH,197,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,154.0,138.0,50.0,42.0,18.0,42.0,114.0,70.0,18.0,74.0,146.0,18.0,130.0,122.0,66.0,111.3333333,66.0,82.0
197,1,NORTH,198,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,68.0,176.0,134.0,44.0,104.0,14.0,38.0,131.0,74.0,74.0,134.0,50.0,128.0,194.0,14.0,248.0,258.0,44.0,62.0
199,1,NORTH,200,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,126.0,54.0,180.0,192.6666667,92.0,18.0
